source_text,target_text
Shifts Worked,Shifts Worked
"Sorry, this coupon code does not exist","Sorry, this coupon code does not exist"
"Sorry, this coupon code has been fully redeemed","Sorry, this coupon code has been fully redeemed"
"Sorry, this coupon code has expired","Sorry, this coupon code has expired"
"Sorry, this coupon code's validity has not started","Sorry, this coupon code's validity has not started"
"Sorry, this coupon has been disabled","Sorry, this coupon has been disabled"
"Sorry, this coupon is not valid for this company","Sorry, this coupon is not valid for this company"
"Sorry, this gift card is assigned to a specific customer","Sorry, this gift card is assigned to a specific customer"
"Sorry, you have already used this coupon code","Sorry, you have already used this coupon code"
Source account is required for wallet transaction,Source account is required for wallet transaction
Start,Start
Start new tab,Start new tab
Status,Status
Status required,Status required
Status updated to {0},Status updated to {0}
Stock Status,Stock Status
Sync Delay (Hours),Sync Delay (Hours)
Sync Status,Sync Status
Synced At,Synced At
"Table is busy, please try again","Table is busy, please try again"
Table is required,Table is required
Table name is required,Table name is required
Table name required,Table name required
Table status updated to {0},Table status updated to {0}
This coupon has expired,This coupon has expired
This coupon has reached its usage limit,This coupon has reached its usage limit
This coupon is disabled,This coupon is disabled
This coupon is not valid for this customer,This coupon is not valid for this customer
This coupon is not yet valid,This coupon is not yet valid
This gift card has already been used,This gift card has already been used
This invoice is currently being processed. Please wait.,This invoice is currently being processed. Please wait.
This referral code has been disabled,This referral code has been disabled
Too many search requests. Please wait a moment.,Too many search requests. Please wait a moment.
Total Closing,Total Closing
Total Difference,Total Difference
Total Expected,Total Expected
Total Opening,Total Opening
Total Sales,Ümumi Satışlar
Total payment amount {0} exceeds outstanding amount {1},Total payment amount {0} exceeds outstanding amount {1}
Transactions,Transactions
Unable to load POS Profile {0},Unable to load POS Profile {0}
Use merge_items_to_invoice API,Use merge_items_to_invoice API
User is disabled,User is disabled
User must have a company assigned,User must have a company assigned
User {} has been disabled. Please select valid user/cashier,User {} has been disabled. Please select valid user/cashier
Valid From date cannot be after Valid Until date,Valid From date cannot be after Valid Until date
Velocity Rank,Velocity Rank
Wallet Account must be a Receivable type account,Wallet Account must be a Receivable type account
Wallet Balance Error,Wallet Balance Error
Wallet Credit: {0},Wallet Credit: {0}
Wallet Debit: {0},Wallet Debit: {0}
Wallet is required,Wallet is required
Wallet reversal for return {0} against {1} (ratio: {2}%),Wallet reversal for return {0} against {1} (ratio: {2}%)
Wallet {0} does not have an account configured,Wallet {0} does not have an account configured
Wallet {0} is not active,Wallet {0} is not active
Warehouse is required,Warehouse is required
Warehouse not set in POS Profile {0},Warehouse not set in POS Profile {0}
Warehouse updated successfully,Warehouse updated successfully
Warehouse {0} is disabled,Warehouse {0} is disabled
Warning: Some credit journal entries may not have been cancelled. Please check manually.,Warning: Some credit journal entries may not have been cancelled. Please check manually.
Write-off amount {0} exceeds limit {1},Write-off amount {0} exceeds limit {1}
You already have an open shift: {0},You already have an open shift: {0}
You don't have access to this POS Profile,You don't have access to this POS Profile
You don't have permission to add payments to this invoice,You don't have permission to add payments to this invoice
You don't have permission to create customers,You don't have permission to create customers
You don't have permission to create or modify promotions,You don't have permission to create or modify promotions
You don't have permission to delete promotions,You don't have permission to delete promotions
You don't have permission to update this POS Profile,You don't have permission to update this POS Profile
You don't have permission to update this table,You don't have permission to update this table
You don't have permission to view promotions,You don't have permission to view promotions
You don't have permission to view this invoice,You don't have permission to view this invoice
You have already used this referral code,You have already used this referral code
account_type,account_type
actual_qty,actual_qty
available_qty,available_qty
bundle_code,bundle_code
component_code,component_code
invoice_name,invoice_name
item_group,item_group
key_field,key_field
min_price,min_price
qty,qty
required_qty,required_qty
reserved_qty,reserved_qty
return_credit,return_credit
returned_qty,returned_qty
total_original_qty,total_original_qty
total_outstanding,total_outstanding
total_qty,total_qty
total_returned_qty,total_returned_qty
type,type
Manage promotional schemes and coupons,Təqvim sxemləri və kuponları idarə et
Refresh,Yenilə
Fill in the details to create a new promotional scheme,Yeni aksiya sxemi yaratmaq üçün detalları doldurun
Promotion Name (required),Aksiya adı (məcburi)
Minimum Quantity,Minimum miqdar
Search coupons...,Kupon axtar...
All Types,Bütün növlər
Create New Coupon,Yeni kupon yarat
Choose a coupon from the list to view and edit or create a new one to get started,Baxmaq və redaktə etmək üçün siyahıdan kupon seçin və ya başlamaq üçün yeni yaradın
Maximum Quantity,Maksimum miqdar
Select Table,Masa seç
Choose a table to begin the order,Sifarişə başlamaq üçün masa seçin
X Report,X Hesabatı
Z Report,Z Hesabatı
Stock Lookup,Stok axtarışı
KDS,KDS
Kitchen Display,Mətbəx ekranı
Table Management,Masa idarəsi
Running Tab,Açıq hesab
Merge Invoices,Fakturaları birləşdir
Transfer Items,Məhsulları köçür
Order Status,Sifariş statusu
Waiting Time,Gözləmə vaxtı
Search invoices...,Faktura axtar...
Total Paid:,Ümumi ödənilib:
Write Off Change,Qalığı sil
Add items to the cart before applying an offer.,Təklif tətbiq etməzdən əvvəl səbətə məhsul əlavə edin.
Cart subtotal BEFORE tax - used for discount calculations,Vergidən əvvəl səbət aralıq cəmi - endirim hesablamaları üçün
Negative stock sales are now allowed,Mənfi stok satışlarına icazə verilir
Tax Configuration Error,Vergi konfiqurasiya xətası
Invoice {0} created successfully,{0} fakturası uğurla yaradıldı
Please enter a promotion name,Aksiya adı daxil edin
Previous order loaded for this table,Bu masa üçün əvvəlki sifariş yükləndi
Cart does not contain items from eligible brands,Səbətdə uyğun brendlərdən məhsul yoxdur
Invoice - {0},Faktura - {0}
Status:,Status:
Paid: {0},Ödənilib: {0}
Maximum allowed discount is {0}%,Maksimum endirim {0}%
Invoice #:,Faktura #:
Last 7 Days,Son 7 gün
Change:,Qalıq:
No pending invoices to sync,Sinxronizasiya üçün gözləyən faktura yoxdur
Server Error,Server xətası
All Territories,Bütün ərazilər
Add New Customer,Yeni müştəri əlavə et
Customer added successfully,Müştəri uğurla əlavə edildi
Offer applied,Təklif tətbiq edildi
Offer removed,Təklif silindi
Invalid offer,Etibarsız təklif
Payment processed,Ödəniş emal edildi
Payment failed,Ödəniş uğursuz oldu
Invoice saved,Faktura saxlandı
Shift opened,Směna açıldı
Shift closed,Směna bağlandı
Sync completed,Sinxronizasiya tamamlandı
Network error,Şəbəkə xətası
Loading,Yüklənir
Processing,Emal edilir
Please wait,Zəhmət olmasa gözləyin
Operation completed,Əməliyyat tamamlandı
Try again,Yenidən cəhd edin
{0} items in cart,{0} məhsul səbətdə
{0} remaining,{0} qalıb
Today,Bu gün
Yesterday,Dünən
No data,Məlumat yoxdur
No records,Yazı yoxdur
Empty list,Boş siyahı
(FREE),(PULSUZ)
+{0} FREE,+{0} PULSUZ
-- No Campaign --,-- Kampaniya yoxdur --
Active Orders,Aktiv sifarişlər
All cached data has been cleared successfully,Bütün keşlənmiş məlumatlar uğurla təmizləndi
An unexpected error occurred,Gözlənilməz xəta baş verdi
Auto-Add ON - Type or scan barcode,Avto-əlavə AKTİV - Barkod yazın və ya skan edin
BALANCE DUE:,ÖDƏNİLMƏLİ BALANS:
Back to POS,POS-a qayıt
Being Prepared,Hazırlanır
Cache empty,Keş boşdur
Cache ready,Keş hazırdır
Cache syncing,Keş sinxronizasiya edilir
Cart is empty,Səbət boşdur
Certificate already exists. You can download it below.,Sertifikat artıq mövcuddur. Aşağıdan yükləyə bilərsiniz.
Certificate generated successfully.,Sertifikat uğurla yaradıldı.
Creating Invoice...,Faktura yaradılır...
Credit card payment cannot exceed invoice total,Kredit kartı ödənişi faktura cəmindən çox ola bilməz
Customer added to cart,Müştəri səbətə əlavə edildi
Discount amount cannot be greater than grand total,Endirim məbləği yekun cəmdən çox ola bilməz
Discount exceeded,Endirim aşıldı
Enter barcode or search term,Barkod və ya axtarış sözü daxil edin
Enter payment amount,Ödəniş məbləği daxil edin
Error creating invoice,Faktura yaradılarkən xəta
Grand Total:,Yekun Cəm:
Invoice cancelled,Faktura ləğv edildi
Invoice created,Faktura yaradıldı
Invoice loaded,Faktura yükləndi
Invoice not found,Faktura tapılmadı
Invoice paid,Faktura ödənildi
Item added to cart,Məhsul səbətə əlavə edildi
Item not available,Məhsul mövcud deyil
Item removed from cart,Məhsul səbətdən çıxarıldı
Loading customers...,Müştərilər yüklənir...
Loading invoice...,Faktura yüklənir...
Loading items...,Məhsullar yüklənir...
Make Payment,Ödəniş et
New Invoice,Yeni Faktura
No active shift,Aktiv směna yoxdur
No items in cart,Səbətdə məhsul yoxdur
No payment methods available,Mövcud ödəniş metodu yoxdur
Order cancelled,Sifariş ləğv edildi
Order completed,Sifariş tamamlandı
Order placed,Sifariş verildi
Paid amount exceeds invoice total,Ödənilmiş məbləğ faktura cəmindən çoxdur
Payment added,Ödəniş əlavə edildi
Payment completed,Ödəniş tamamlandı
Payment pending,Ödəniş gözləyir
Please add items to cart,Zəhmət olmasa səbətə məhsul əlavə edin
Please select a customer,Zəhmət olmasa müştəri seçin
Please select a payment method,Zəhmət olmasa ödəniş metodu seçin
Print receipt,Çek çap et
Printing receipt...,Çek çap edilir...
Processing payment...,Ödəniş emal edilir...
Receipt printed,Çek çap edildi
Return period expired,Qaytarma müddəti bitdi
Saving draft...,Qaralama saxlanılır...
Scan barcode,Barkod skan et
Search by name or code,Ad və ya kod ilə axtar
Select customer,Müştəri seç
Shift closed successfully,Směna uğurla bağlandı
Shift opened successfully,Směna uğurla açıldı
Stock updated,Stok yeniləndi
Submitting order...,Sifariş göndərilir...
Sync error,Sinxronizasiya xətası
Syncing data...,Məlumat sinxronizasiya edilir...
Tax included,Vergi daxildir
Tax excluded,Vergi xaricdir
Total Paid,Ümumi Ödənilib
Transaction completed,Əməliyyat tamamlandı
Transaction failed,Əməliyyat uğursuz oldu
Failed to generate certificate. Are you a System Manager?,Sertifikat yaradılarkən uğursuz oldu. Sistem Meneceri sizsiniz?
Failed to load brands,Brendlər yüklənərkən uğursuz oldu
Failed to load draft,Qaralama yüklənərkən uğursuz oldu
Failed to load invoices,Fakturalar yüklənərkən uğursuz oldu
Incorrect password,Yanlış şifrə
Individual,Fərdi
Insufficient Stock,Kifayət qədər stok yoxdur
Invoice fully paid. No additional payment needed.,Faktura tam ödənilib. Əlavə ödənişə ehtiyac yoxdur.
Just now,İndicə
Kitchen Display System,Mətbəx Ekran Sistemi
Kitchen is clear.,Mətbəx boşdur.
Last 30 Days,Son 30 gün
Live,Canlı
Lock Screen,Ekranı kilidlə
MODIFIED,DƏYİŞDİRİLDİ
Mark Ready,Hazır olaraq işarələ
Mobile Number,Mobil nömrə
Naming Series Error,Adlandırma Seriyası Xətası
Negative Stock,Mənfi Stok
Negative stock sales are now restricted,Mənfi stok satışları məhdudlaşdırılıb
No Active Orders,Aktiv sifariş yoxdur
Offline - No server connection,Oflayn - Server bağlantısı yoxdur
Password verified,Şifrə təsdiqləndi
Print Failed,Çap Uğursuz Oldu
Print Successful,Çap Uğurlu Oldu
Proceed,Davam et
Ready for Pickup,Götürməyə Hazır
Remove Offer,Təklifi sil
Return items,Məhsulları qaytar
Select,Seç
Send to Kitchen,Mətbəxə göndər
Session Expired,Sessiya Vaxtı Bitdi
Stock Quantity,Stok Miqdarı
Submit,Göndər
Sync Now,İndi Sinxronizasiya Et
System Error,Sistem Xətası
Tax ID,Vergi ID
Tax Name,Vergi Adı
Unlock,Kilidi aç
Update failed,Yeniləmə uğursuz oldu
Void,Ləğv et
Void Invoice,Fakturanı Ləğv Et
Permission Denied,İcazə Rədd Edildi
Permission Required,İcazə Tələb Olunur
Please add items to cart before proceeding to payment,Ödənişə keçməzdən əvvəl səbətə məhsul əlavə edin
Please enter a coupon name,Kupon adı daxil edin
Please open a shift to start making sales,Satışa başlamaq üçün směna açın
Please select a customer before proceeding,Davam etməzdən əvvəl müştəri seçin
Promotion created successfully,Aksiya uğurla yaradıldı
Promotion deleted successfully,Aksiya uğurla silindi
Promotion saved successfully,Aksiya uğurla saxlandı
Promotion updated successfully,Aksiya uğurla yeniləndi
Search...,Axtar...
Seats,Oturacaqlar
Settings saved successfully,Ayarlar uğurla saxlandı
Sign Out?,Çıxış?
Thank you for your business!,Biznesiniz üçün təşəkkür edirik!
Thank you for your order,Sifarişiniz üçün təşəkkür edirik
Welcome,Xoş Gəldiniz
Welcome to POS Next,POS Next-ə Xoş Gəldiniz
Your cart is empty,Sizin səbətiniz boşdur
Your order is being prepared,Sizin sifarişiniz hazırlanır
All items already sent to kitchen,Bütün məhsullar artıq mətbəxə göndərilib
